season,team,player_seasons,total_cap_over_replacement_millions,total_value_over_replacement,total_dollar_surplus_millions,mean_dollar_surplus_millions
2022,CAR,12,41.093266,-0.113596951002,-41.2437218104,-3.74942925549
2025,BAL,14,52.985271,6.30627917121,-41.4017148855,-3.18474729889
2021,CAR,12,30.651407,-8.23612230802,-41.507630687,-3.77342097155
2022,PHI,11,67.458451,7.45527287538,-42.3942953936,-4.23942953936
2018,NYG,11,56.9743055,3.40644287298,-42.6628737176,-4.26628737176
2024,DET,11,126.44016,15.8583857423,-42.7488288512,-3.88625716829
2018,CLE,11,46.0687515,2.61103145945,-42.8589615516,-4.28589615516
2025,SF,12,59.666923,8.63182975999,-43.0676922143,-4.30676922143
2017,JAX,11,62.00202,3.99040037232,-43.3202562173,-3.93820511067
2017,BUF,10,64.1725035,2.68508851798,-43.5921102411,-4.35921102411
